stage,trial,source,status,score,task_messages,all_phase_messages,correct_claims,incorrect_claims,undetermined_claims,codec_errors,changed_proposals,explicit_revisions,questions,result_actions,waits,rejections,notes
2,25,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-25,success,20,3,3,146,0,0,0,0,0,0,6,0,1,중복 JSON 키 제거 후 전달
2,26,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-26,success,20,4,4,144,2,1,0,2,2,2,6,0,0,최적→무효→최적; 불가 사유 명시; 별도 요약 오류 미교정
3,25,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-3/results/experiment/20260912T170838Z-stage3-c4737d9c488a/trial-25,success,20,2,2,144,0,0,0,0,0,0,4,0,0,요약·최적 제안·제출
3,26,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-3/results/experiment/20260912T170838Z-stage3-c4737d9c488a/trial-26,success,20,2,2,143,1,0,0,0,0,0,4,0,0,선호도 요약 1개 미교정
4,25,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-4/results/experiment/20260912T170838Z-stage4-ff76a0f46e3a/trial-25,success,20,2,2,144,0,0,0,0,0,72,6,2,0,A 제출 뒤 B/A wait; 새 peer 메시지 없음
4,26,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-4/results/experiment/20260912T170838Z-stage4-ff76a0f46e3a/trial-26,success,20,2,2,144,0,0,0,0,0,0,4,0,0,B 요약·A 개인 자료 교환
5,25,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-5/results/experiment/20260912T170838Z-stage5-0cf49fbfa1a8/trial-25,success,20,4,4,145,0,1,0,2,2,0,6,0,0,최적→무효→최적; 불가 사유 명시; 무효 점수 보류
5,26,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-5/results/experiment/20260912T170838Z-stage5-0cf49fbfa1a8/trial-26,success,20,3,3,143,1,0,0,0,0,0,5,0,0,선호도 요약 1개 미교정
6,25,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-6/results/experiment/20260912T170838Z-stage6-be74e683a4b1/trial-25,failed,,4,6,142,2,0,0,0,0,0,12,0,4,가용성 2개 오류; 무효 제안·수락·양쪽 제출; 교정 없음
6,26,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-6/results/experiment/20260912T170838Z-stage6-be74e683a4b1/trial-26,success,20,3,5,144,0,0,0,0,0,74,7,0,0,마지막 유효성·점수 질문은 peer 답변 없이 제출
