stage,trial,source,status,score,task_messages,all_phase_messages,correct_claims,incorrect_claims,undetermined_claims,codec_errors,changed_proposals,explicit_revisions,questions,result_actions,waits,rejections,notes
2,18,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-18,success,20,5,5,146,0,0,0,2,2,0,10,2,0,"최적→불가→최적; 같은 payload revise가 B 제출 삭제, 재제출"
2,19,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-19,success,20,3,3,144,0,0,0,0,0,0,5,0,0,제안 수락 후 양쪽 제출
3,18,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-3/results/experiment/20260912T170838Z-stage3-c4737d9c488a/trial-18,success,20,7,7,154,0,0,0,0,0,82,11,1,1,술어 수정; 개인자료 10→72 요청; 제출→wait→accept→제출
3,19,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-3/results/experiment/20260912T170838Z-stage3-c4737d9c488a/trial-19,success,20,5,5,186,0,0,0,0,0,144,9,0,2,"질문 수정; 72개 질문에 108개 사실/요약 응답, A 전체요약 후속 요청"
4,18,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-4/results/experiment/20260912T170838Z-stage4-ff76a0f46e3a/trial-18,success,20,2,2,144,0,0,0,0,0,0,4,0,0,팀 요약 교환·제안 후 제출
4,19,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-4/results/experiment/20260912T170838Z-stage4-ff76a0f46e3a/trial-19,success,20,2,2,144,0,0,0,0,0,0,4,0,0,개인 자료 교환·제안 후 제출
5,18,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-5/results/experiment/20260912T170838Z-stage5-0cf49fbfa1a8/trial-18,success,20,4,4,144,0,0,0,0,0,0,6,0,0,자료 교환·제안·수락 후 제출
5,19,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-5/results/experiment/20260912T170838Z-stage5-0cf49fbfa1a8/trial-19,success,20,2,2,144,0,0,0,0,0,72,4,0,0,요약 72개 질문·응답 및 제안
6,18,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-6/results/experiment/20260912T170838Z-stage6-be74e683a4b1/trial-18,success,20,2,4,144,0,0,0,0,0,72,8,0,2,종류 누락·마침표 누락 수정
6,19,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-6/results/experiment/20260912T170838Z-stage6-be74e683a4b1/trial-19,success,20,4,6,222,0,0,0,0,0,72,15,3,4,사전 수락/종류/질문 인수 수정; 제출 유지 중 wait·요약 반복
