stage,trial,source,status,score,task_messages,all_phase_messages,correct_claims,incorrect_claims,undetermined_claims,codec_errors,changed_proposals,explicit_revisions,questions,result_actions,waits,rejections,notes
2,27,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-27,success,20,2,2,144,0,0,0,0,0,0,4,0,0,자료·최적 제안·제출
2,28,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-2/results/experiment/20260912T170838Z-stage2-2f6d43b42c86/trial-28,success,20,6,6,147,0,0,0,2,2,2,8,0,0,추가 개인 정보 교환 뒤 최적→무효→최적; 명시 불가 사유
3,27,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-3/results/experiment/20260912T170838Z-stage3-c4737d9c488a/trial-27,success,19,5,5,134,12,0,0,0,0,72,11,0,4,B M1 요약 오류 12회/11고유; 미교정·19점
3,28,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-3/results/experiment/20260912T170838Z-stage3-c4737d9c488a/trial-28,success,20,6,6,144,0,0,0,0,0,144,10,0,2,개인 fact 질문에 팀 summary 응답; 질문 72개는 후속 전송
4,27,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-4/results/experiment/20260912T170838Z-stage4-ff76a0f46e3a/trial-27,success,20,3,3,144,0,0,0,1,1,72,5,0,0,첫 무효 후보→최적; 명시 사유 없음
4,28,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-4/results/experiment/20260912T170838Z-stage4-ff76a0f46e3a/trial-28,success,20,4,4,145,0,0,0,2,2,0,6,0,0,최적→무효→최적; A1 불가 사유
5,27,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-5/results/experiment/20260912T170838Z-stage5-0cf49fbfa1a8/trial-27,success,20,3,3,144,0,0,0,0,0,72,5,0,0,자료·최적 제안·수락·제출
5,28,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-5/results/experiment/20260912T170838Z-stage5-0cf49fbfa1a8/trial-28,success,20,4,4,150,0,0,0,0,0,72,6,0,0,후보 요약 6개 뒤 전체 72개 요청·응답
6,27,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-6/results/experiment/20260912T170838Z-stage6-be74e683a4b1/trial-27,success,20,4,6,108,0,1,0,1,0,2,8,0,0,첫 무효 후보를 send로 교정; 명시 valid0·사유; score23 보류
6,28,/Users/hyohyeon/Desktop/agent-research-commincation/.worktree/20260912T170838Z-plan-22772406666b/stage-6/results/experiment/20260912T170838Z-stage6-be74e683a4b1/trial-28,success,20,5,8,154,0,0,0,0,0,74,14,0,4,같은 사전 재정의 뒤 합의; 문법·기호 교정; 후보 유지
